date,index,close,open,high,low,volume,anger,disgust,joy,sadness,fear,su
2015-11-09,3646.88,1.5800,-0.0426,2.3323,-0.0426,503016700.0,2305.0,3016.0,11102.0,976.0,9422.0,27475.0
2015-11-10,3640.49,-0.1700,-0.8084,0.6211,-1.0691,429746600.0,3353.0,4918.0,15755.0,1311.0,14309.0,40680.0
2015-11-11,3650.25,0.2700,-0.1508,0.3953,-0.9578,360972650.0,2992.0,4216.0,12904.0,1051.0,11899.0,34203.0
2015-11-12,3632.9,-0.4700,0.1800,0.2482,-1.2881,361717600.0,3078.0,4315.0,15481.0,1286.0,14626.0,39836.0
2015-11-13,3580.84,-1.4300,-0.8847,-0.0094,-1.8743,345870925.0,3791.0,4261.0,12861.0,1283.0,15534.0,38860.0
2015-11-16,3606.96,0.7300,-1.6303,0.7476,-1.7152,276187050.0,3727.0,4087.0,11790.0,1058.0,12438.0,33902.0
2015-11-17,3604.8,-0.0600,0.6382,1.9770,-0.2465,383575475.0,3794.0,5857.0,14237.0,1272.0,13608.0,39792.0
2015-11-18,3568.47,-1.0100,0.0072,0.3404,-1.2789,297580725.0,3416.0,5102.0,12422.0,1279.0,14946.0,38318.0
2015-11-19,3617.06,1.3600,0.1488,1.3939,-0.2082,247915575.0,3140.0,4133.0,10747.0,1198.0,12975.0,33076.0
2015-11-20,3630.5,0.3700,0.1031,0.6489,-0.2527,310801975.0,2158.0,3236.0,8828.0,856.0,10694.0,26273.0
2015-11-23,3610.31,-0.5600,0.0102,0.6680,-0.8712,315997475.0,2779.0,4263.0,11683.0,1114.0,12916.0,33556.0
2015-11-24,3616.11,0.1600,-0.2055,0.1709,-1.3076,248810525.0,4059.0,4630.0,12384.0,2339.0,16372.0,40734.0
2015-11-25,3647.93,0.8800,-0.0564,0.8921,-0.2375,273024850.0,3830.0,4189.0,12080.0,1735.0,15965.0,38755.0
2015-11-26,3635.55,-0.3400,0.3191,0.5606,-0.4953,306761575.0,3571.0,3724.0,12418.0,1349.0,14585.0,36509.0
